DEPT,GR,DT,RHOB,DRHO
2196.9004,104.057175,,,
2196.8004,103.529541,,,
2196.7004,102.682495,,,
2196.6004,101.369095,,,
2196.5004,99.803574,,,
2196.4004,98.201675,,,
2196.3004,97.441849,,,
2196.2004,97.884537,,,
2196.1004,99.528336,,,
2196.0004,101.933823,,,
2195.9004,104.455399,,,
2195.8004,106.874725,,,
2195.7004,108.42662,,,
2195.6004,108.742844,,,
2195.5004,107.285324,,,
2195.4004,104.462875,,,
2195.3004,100.917557,,,
2195.2004,96.66539,,,
2195.1004,92.443039,,,
2195.0004,88.884766,,,
2194.9004,87.597839,,,
2194.8004,88.784668,,,
2194.7004,91.761902,,,
2194.6004,96.564087,69.336639,,
2194.5004,101.648178,70.638412,,
2194.4004,105.947723,72.41716,,
2194.3004,107.683395,74.401932,,
2194.2004,107.679886,76.831894,,
2194.1004,106.925049,79.622528,,
2194.0004,106.064224,82.36821,,
2193.9004,105.31546,84.192352,,
2193.8004,104.701797,84.790039,,
2193.7004,104.953384,84.372925,,
2193.6004,106.028137,83.680206,,
2193.5004,107.642578,83.068619,,
2193.4004,109.600082,82.104355,,
2193.3004,111.658264,81.149414,,
2193.2004,113.692993,80.755814,,
2193.1004,115.764832,81.185883,,
2193.0004,117.632797,81.483398,,
2192.9004,119.00563,80.983917,,
2192.8004,120.21904,80.274078,,
2192.7004,121.480057,79.340485,,
2192.6004,122.732666,77.754959,,
2192.5004,123.934677,75.470718,,
2192.4004,125.033676,73.030273,,
2192.3004,125.95578,70.94426,,
2192.2004,126.58403,69.87822,,
2192.1004,126.930573,69.711945,,
2192.0004,126.971878,69.732101,,
2191.9004,126.417892,69.966995,,
2191.8004,125.18869,70.405594,,
2191.7004,123.209549,70.703247,,
2191.6004,120.75293,71.024185,,
2191.5004,118.244217,71.200333,,
2191.4004,115.805954,70.596207,,
2191.3004,113.628036,69.499664,,
2191.2004,111.589813,68.494095,,
2191.1004,109.363571,67.64566,,
2191.0004,106.210846,66.8564,,
2190.9004,101.613434,66.146957,,
2190.8004,95.85939,65.774216,,
2190.7004,89.937271,65.820328,,
2190.6004,85.25679,65.987961,,
2190.5004,83.654816,65.803772,,
2190.4004,85.850525,65.511215,,
2190.3004,89.987198,65.710037,,
2190.2004,95.314087,66.214935,,
2190.1004,100.115646,66.675354,,
2190.0004,102.847977,66.93898,,
2189.9004,102.203934,67.242752,,
2189.8004,98.213974,67.682602,,
2189.7004,93.507858,67.960785,,
2189.6004,89.201965,67.795639,,
2189.5004,86.415131,67.492661,,
2189.4004,85.18428,67.851364,,
2189.3004,85.741364,68.452423,,
2189.2004,87.490356,68.704681,,
2189.1004,89.748962,68.819992,,
2189.0004,92.876816,68.909103,,
2188.9004,97.087662,68.80426,,
2188.8004,101.379257,68.291595,,
2188.7004,105.045044,67.65564,,
2188.6004,107.733871,67.372238,,
2188.5004,110.03009,67.473999,,
2188.4004,111.815918,67.977386,,
2188.3004,112.568985,68.688599,,
2188.2004,112.56189,69.113922,,
2188.1004,112.200104,69.409134,,
2188.0004,112.011978,69.739273,,
2187.9004,111.570831,69.384567,,
2187.8004,110.481171,68.229736,,
2187.7004,108.83699,66.884064,,
2187.6004,107.060043,65.88382,,
2187.5004,105.563553,65.437775,,
2187.4004,104.30484,65.376984,,
